# flow data source for Coyote Creek,,,,,,,,,,,
#    USGS 11172175 COYOTE C AB HWY 237 A MILPITAS CA,,,,,,,,,,,
# https://waterdata.usgs.gov/nwis/dv?referred_module=sw&site_no=11172175,,,,,,,,,,,
# constituent data from USGS San Francisco Water Quality monitoring station 36,,,,,,,,,,,
"# Cloern, J.E., and Schraga, T.S., 2016, USGS Measurements of Water Quality in San Francisco Bay (CA), 1969-2015 (ver. 3.0 June 2017): U. S. Geological Survey data release, https://doi.org/10.5066/F7TQ5ZPR. https://www.sciencebase.gov/catalog/item/5841f97ee4b04fc80e518d9f Schraga, T.S. & Cloern, J.E. Water Quality Measurements in San Francisco Bay by the U.S.Geological Survey, 1969-2015. Scientific Data 4:170098 doi:10.1038/sdata.2017.98 (2017). https://www.nature.com/articles/sdata201798",,,,,,,,,,,
# https://www.usgs.gov/centers/california-water-science-center/science/sampling-locations-water-quality-san-francisco-bay,,,,,,,,,,,
# https://www.usgs.gov/data/usgs-measurements-water-quality-san-francisco-bay-ca-2016-2021-ver-40-march-2023,,,,,,,,,,,
date,flow m3/s,Oxygen mmol/m3,Salinity PSU,Temperature C,Nitrite mmol/m3,Nitrate mmol/m3,Nitrate_Nitrite mmol/m3,Ammonium mmol/m3,Phosphate mmol/m3,Silicate mmol/m3,Chlorophyll mg/m3
1/1/2018,0.80986048,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,4.9
1/2/2018,0.81552384,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,4.9
1/3/2018,1.08453344,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,4.9
1/4/2018,2.8883136,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,4.9
1/5/2018,0.98542464,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,4.9
1/6/2018,1.2176224,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,4.9
1/7/2018,0.91746432,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,4.9
1/8/2018,5.0687072,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,4.9
1/9/2018,12.3461248,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,4.9
1/10/2018,2.8883136,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,4.9
1/11/2018,1.30823616,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,4.9
1/12/2018,1.09302848,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,4.9
1/13/2018,0.9627712,284.375,17.11,11.11,1,30.7,31.7,13.85,2.49,141.4,4.9
